player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
Doug McDermott,2023-24,7.0,4.71,0.57,1.86,0.29,0.0,0.0,10.0,3.9,1.3,1.0,0.3,0.0,0.0,11.0,6.09,1.18,1.09,0.0,0.18,0.0,13.0,4.92,0.77,1.0,0.31,0.0,0.0,12.0,4.92,0.83,0.92,0.08,0.0,0.0,11.0,8.09,0.82,1.0,0.55,0.0,0.0
Bryce McGowens,2023-24,10.0,3.9,1.4,0.6,0.1,0.0,0.0,11.0,6.36,2.0,1.09,0.27,0.36,0.0,12.0,2.33,1.17,0.75,0.08,0.0,0.0,12.0,4.67,1.75,0.83,0.5,0.08,0.0,6.0,7.83,2.67,0.33,0.67,0.33,0.0,8.0,7.75,1.88,1.5,0.75,0.38,0.0
Jordan McLaughlin,2023-24,9.0,2.78,0.89,1.67,0.22,0.11,0.0,7.0,3.86,1.43,1.57,0.43,0.0,0.0,8.0,1.75,1.0,2.62,0.75,0.38,0.0,9.0,2.89,1.0,1.67,0.78,0.33,0.0,10.0,5.6,1.8,3.2,0.8,0.0,0.0,13.0,3.62,1.46,1.23,0.69,0.0,0.0
De'Anthony Melton,2023-24,6.0,9.83,4.0,2.0,0.83,0.0,0.0,5.0,12.4,4.0,3.0,1.4,0.8,0.0,7.0,10.57,4.0,3.57,1.29,0.29,0.0,6.0,10.5,3.67,2.33,2.17,0.33,0.0,7.0,8.14,2.14,3.86,1.86,0.29,0.0,7.0,15.14,4.57,3.0,1.86,0.86,0.0
Sam Merrill,2023-24,11.0,8.64,1.82,1.36,0.18,0.0,0.0,10.0,7.2,1.9,1.8,0.1,0.0,0.0,9.0,8.44,1.78,1.78,0.56,0.0,0.0,10.0,10.1,2.0,1.5,0.4,0.1,0.0,10.0,8.4,2.6,2.4,0.5,0.2,0.0,11.0,5.18,1.73,1.82,0.18,0.09,0.0
Vasilije Micić,2023-24,13.0,6.15,1.0,5.38,0.54,0.08,0.0,17.0,5.71,0.88,3.65,0.35,0.12,0.0,10.0,8.0,2.5,5.1,0.6,0.1,0.0,5.0,9.8,1.8,4.0,0.8,0.2,0.0,7.0,9.0,1.71,4.71,0.43,0.14,0.0,8.0,6.62,1.75,3.25,0.62,0.12,0.0
Khris Middleton,2023-24,8.0,14.12,4.0,7.0,1.5,0.25,0.0,6.0,13.33,5.33,5.17,0.83,0.5,0.0,11.0,14.45,6.27,4.55,1.0,0.09,0.0,12.0,15.5,3.67,4.67,0.83,0.25,0.0,6.0,14.83,4.33,5.83,0.5,0.17,0.0,12.0,16.75,4.5,5.33,0.83,0.42,0.0
Brandon Miller,2023-24,13.0,15.62,4.62,2.46,0.38,0.54,0.0,11.0,15.09,3.55,2.73,1.64,0.27,0.0,15.0,21.13,4.6,2.6,0.73,0.73,0.0,13.0,16.08,4.23,1.54,0.54,0.31,0.0,12.0,18.0,4.5,2.33,1.25,0.67,0.0,10.0,16.8,3.8,2.6,1.0,0.9,0.0
Jordan Miller,2023-24,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonard Miller,2023-24,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.4,1.0,0.8,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.5,1.25,0.0,0.25,0.25,0.0,4.0,2.75,0.75,0.5,0.0,0.0,0.0
Patty Mills,2023-24,6.0,3.33,0.83,1.17,0.67,0.0,0.0,8.0,5.75,1.75,2.25,0.75,0.12,0.0,6.0,2.0,0.83,0.33,0.33,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,5.0,6.0,1.0,0.4,0.8,0.0,0.0,5.0,3.4,1.2,0.6,0.6,0.0,0.0
Shake Milton,2023-24,7.0,4.43,0.86,1.0,0.71,0.14,0.0,6.0,5.67,1.67,1.67,0.17,0.17,0.0,7.0,2.29,1.14,1.14,0.29,0.14,0.0,9.0,4.89,1.33,1.11,0.44,0.0,0.0,7.0,3.57,1.14,0.71,0.43,0.14,0.0,12.0,5.5,2.58,1.67,0.33,0.17,0.0
Justin Minaya,2023-24,4.0,0.75,1.75,0.75,0.25,0.0,0.0,7.0,2.43,1.14,0.71,0.14,0.43,0.0,6.0,1.5,1.33,0.33,0.17,0.17,0.0,4.0,3.25,2.5,0.75,0.0,0.25,0.0,8.0,1.62,1.75,0.5,0.12,0.12,0.0,5.0,1.2,1.8,0.8,1.0,0.8,0.0
Josh Minott,2023-24,4.0,1.5,0.0,0.25,0.0,0.25,0.0,5.0,3.4,0.2,0.0,0.2,0.2,0.0,2.0,2.0,1.5,0.5,0.5,0.0,0.0,4.0,1.25,0.75,0.25,0.0,0.25,0.0,8.0,0.75,0.25,0.12,0.25,0.25,0.0,9.0,1.33,0.89,0.44,0.11,0.0,0.0
Davion Mitchell,2023-24,10.0,4.3,1.2,1.1,0.3,0.1,0.0,13.0,6.23,1.54,2.38,0.46,0.0,0.0,10.0,6.1,1.7,1.9,0.1,0.0,0.0,11.0,3.45,1.27,1.73,0.27,0.0,0.0,15.0,5.6,1.07,1.8,0.07,0.0,0.0,13.0,5.54,1.23,2.08,0.23,0.15,0.0
